TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790361326.606 0.305
RTT 1790361326.856 0.172
RTT 1790361327.107 0.271
RTT 1790361327.356 0.081
RTT 1790361327.607 0.325
RTT 1790361327.857 0.061
RTT 1790361328.107 0.060
RTT 1790361328.358 0.377
RTT 1790361328.608 0.175
RTT 1790361328.858 0.088
RTT 1790361329.108 0.082
RTT 1790361329.358 0.103
RTT 1790361329.608 0.085
RTT 1790361329.858 0.197
RTT 1790361330.108 0.199
RTT 1790361330.358 0.136
RTT 1790361330.609 0.121
RTT 1790361330.859 0.091
RTT 1790361331.109 0.074
RTT 1790361331.359 0.098
RTT 1790361331.609 0.159
RTT 1790361331.860 0.574
RTT 1790361332.110 0.116
RTT 1790361332.360 0.052
RTT 1790361332.610 0.059
RTT 1790361332.860 0.180
RTT 1790361333.110 0.136
RTT 1790361333.360 0.063
RTT 1790361333.610 0.060
RTT 1790361333.861 0.196
RTT 1790361334.111 0.103
RTT 1790361334.361 0.299
RTT 1790361334.611 0.310
RTT 1790361334.861 0.159
RTT 1790361335.112 0.482
RTT 1790361335.362 0.087
RTT 1790361335.612 0.372
RTT 1790361335.862 0.314
RTT 1790361336.112 0.084
RTT 1790361336.362 0.073
RTT 1790361336.613 0.155
RTT 1790361336.863 0.170
RTT 1790361337.113 0.336
RTT 1790361337.363 0.258
RTT 1790361337.614 0.215
RTT 1790361337.864 0.354
RTT 1790361338.114 0.144
RTT 1790361338.364 0.207
RTT 1790361338.614 0.060
RTT 1790361338.865 0.314
RTT 1790361339.115 0.321
RTT 1790361339.366 0.347
RTT 1790361339.615 0.066
RTT 1790361339.866 0.071
RTT 1790361340.116 0.212
RTT 1790361340.366 0.146
RTT 1790361340.616 0.185
RTT 1790361340.866 0.120
RTT 1790361341.117 0.270
RTT 1790361341.367 0.326
RTT 1790361341.617 0.219
RTT 1790361341.867 0.090
RTT 1790361342.118 0.288
RTT 1790361342.368 0.323
RTT 1790361342.618 0.169
RTT 1790361342.868 0.093
RTT 1790361343.118 0.319
RTT 1790361343.369 0.324
RTT 1790361343.619 0.227
RTT 1790361343.869 0.349
RTT 1790361344.119 0.060
RTT 1790361344.370 0.372
RTT 1790361344.620 0.253
RTT 1790361344.870 0.185
RTT 1790361345.120 0.228
RTT 1790361345.370 0.070
RTT 1790361345.620 0.199
RTT 1790361345.871 0.387
RTT 1790361346.121 0.270
RTT 1790361346.371 0.351
RTT 1790361346.621 0.157
RTT 1790361346.874 0.247
RTT 1790361347.124 0.193
RTT 1790361347.374 0.167
RTT 1790361347.624 0.071
RTT 1790361347.874 0.143
RTT 1790361348.125 0.156
RTT 1790361348.375 0.289
RTT 1790361348.625 0.158
RTT 1790361348.875 0.203
RTT 1790361349.125 0.221
RTT 1790361349.376 0.171
RTT 1790361349.626 0.073
RTT 1790361349.876 0.080
RTT 1790361350.126 0.084
RTT 1790361350.376 0.331
RTT 1790361350.626 0.217
RTT 1790361350.877 0.170
RTT 1790361351.127 0.065
RTT 1790361351.378 1.363
RTT 1790361351.627 0.130
RTT 1790361351.878 0.270
RTT 1790361352.127 0.076
RTT 1790361352.378 0.238
RTT 1790361352.628 0.359
RTT 1790361352.878 0.075
RTT 1790361353.130 0.301
RTT 1790361353.380 0.127
RTT 1790361353.631 0.350
RTT 1790361353.881 0.318
RTT 1790361354.131 0.171
RTT 1790361354.381 0.069
RTT 1790361354.631 0.198
RTT 1790361354.882 0.156
RTT 1790361355.132 0.229
RTT 1790361355.382 0.227
RTT 1790361355.632 0.120
RTT 1790361355.882 0.308
RTT 1790361356.133 0.187
RTT 1790361356.383 0.323
RTT 1790361356.634 0.253
RTT 1790361356.885 0.333
RTT 1790361357.135 0.207
RTT 1790361357.385 0.311
RTT 1790361357.636 0.244
RTT 1790361357.886 0.098
RTT 1790361358.136 0.198
RTT 1790361358.386 0.355
RTT 1790361358.636 0.397
RTT 1790361358.886 0.059
RTT 1790361359.137 0.168
RTT 1790361359.387 0.320
RTT 1790361359.637 0.071
RTT 1790361359.887 0.104
RTT 1790361360.137 0.057
RTT 1790361360.388 0.388
RTT 1790361360.638 0.137
RTT 1790361360.888 0.357
RTT 1790361361.138 0.290
RTT 1790361361.389 0.340
RTT 1790361361.639 0.169
RTT 1790361361.889 0.337
RTT 1790361362.139 0.074
RTT 1790361362.391 0.303
RTT 1790361362.641 0.059
RTT 1790361362.891 0.164
RTT 1790361363.141 0.076
RTT 1790361363.392 0.280
RTT 1790361363.642 0.182
RTT 1790361363.892 0.212
RTT 1790361364.142 0.350
RTT 1790361364.393 0.180
RTT 1790361364.643 0.248
RTT 1790361364.893 0.071
RTT 1790361365.143 0.279
RTT 1790361365.393 0.127
RTT 1790361365.643 0.056
RTT 1790361365.894 0.334
RTT 1790361366.144 0.311
RTT 1790361366.394 0.078
RTT 1790361366.644 0.222
RTT 1790361366.895 0.324
RTT 1790361367.145 0.306
RTT 1790361367.395 0.079
RTT 1790361367.645 0.213
RTT 1790361367.895 0.080
RTT 1790361368.145 0.059
RTT 1790361368.395 0.068
RTT 1790361368.646 0.096
RTT 1790361368.896 0.063
RTT 1790361369.146 0.144
RTT 1790361369.396 0.107
RTT 1790361369.646 0.074
RTT 1790361369.896 0.303
RTT 1790361370.146 0.173
RTT 1790361370.397 0.163
RTT 1790361370.647 0.055
RTT 1790361370.897 0.140
RTT 1790361371.147 0.087
