TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360515.131 0.196
RTT 1790360515.386 5.118
RTT 1790360515.633 1.610
RTT 1790360515.882 0.197
RTT 1790360516.132 0.184
RTT 1790360516.382 0.270
RTT 1790360516.632 0.467
RTT 1790360516.882 0.083
RTT 1790360517.142 9.376
RTT 1790360517.388 5.765
RTT 1790360517.640 7.656
RTT 1790360517.883 0.099
RTT 1790360518.133 0.132
RTT 1790360518.387 4.422
RTT 1790360518.633 0.143
RTT 1790360518.883 0.303
RTT 1790360519.133 0.079
RTT 1790360519.385 1.855
RTT 1790360519.634 0.180
RTT 1790360519.884 0.207
RTT 1790360520.139 5.524
RTT 1790360520.384 0.136
RTT 1790360520.639 4.472
RTT 1790360520.885 0.150
RTT 1790360521.135 0.070
RTT 1790360521.387 0.106
RTT 1790360521.638 1.373
RTT 1790360521.889 2.071
RTT 1790360522.138 0.301
RTT 1790360522.388 0.203
RTT 1790360522.644 5.612
RTT 1790360522.893 4.407
RTT 1790360523.138 0.082
RTT 1790360523.389 0.106
RTT 1790360523.639 0.502
RTT 1790360523.892 3.218
RTT 1790360524.139 0.163
RTT 1790360524.389 0.194
RTT 1790360524.643 3.392
RTT 1790360524.890 1.119
RTT 1790360525.140 0.207
RTT 1790360525.392 0.154
RTT 1790360525.642 0.714
RTT 1790360525.892 0.133
RTT 1790360526.142 0.082
RTT 1790360526.392 0.116
RTT 1790360526.645 2.643
RTT 1790360526.895 2.391
RTT 1790360527.143 0.162
RTT 1790360527.394 1.804
RTT 1790360527.651 7.968
RTT 1790360527.893 0.147
RTT 1790360528.145 0.220
RTT 1790360528.395 0.101
RTT 1790360528.645 0.084
RTT 1790360528.896 0.306
RTT 1790360529.146 0.284
RTT 1790360529.398 1.938
RTT 1790360529.646 0.078
RTT 1790360529.897 0.192
RTT 1790360530.147 0.107
RTT 1790360530.401 4.731
RTT 1790360530.652 5.200
RTT 1790360530.897 0.130
RTT 1790360531.147 0.188
RTT 1790360531.400 2.677
RTT 1790360531.648 0.713
RTT 1790360531.898 0.440
RTT 1790360532.148 0.068
RTT 1790360532.398 0.533
RTT 1790360532.648 0.080
RTT 1790360532.899 0.328
RTT 1790360533.149 0.283
RTT 1790360533.402 3.153
RTT 1790360533.649 0.149
RTT 1790360533.899 0.341
RTT 1790360534.150 0.276
RTT 1790360534.401 1.186
RTT 1790360534.650 0.070
RTT 1790360534.900 0.338
RTT 1790360535.150 0.159
RTT 1790360535.403 3.144
RTT 1790360535.650 0.113
RTT 1790360535.901 0.261
RTT 1790360536.151 0.076
RTT 1790360536.401 0.348
RTT 1790360536.651 0.174
RTT 1790360536.902 0.259
RTT 1790360537.152 0.403
