TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360261.319 0.939
RTT 1790360261.568 0.151
RTT 1790360261.819 0.316
RTT 1790360262.070 0.947
RTT 1790360262.321 1.495
RTT 1790360262.569 0.200
RTT 1790360262.819 0.078
RTT 1790360263.071 1.060
RTT 1790360263.320 0.269
RTT 1790360263.570 0.188
RTT 1790360263.820 0.093
RTT 1790360264.071 0.867
RTT 1790360264.321 0.214
RTT 1790360264.573 0.266
RTT 1790360264.826 2.770
RTT 1790360265.073 0.124
RTT 1790360265.323 0.122
RTT 1790360265.574 0.322
RTT 1790360265.825 1.193
RTT 1790360266.074 0.365
RTT 1790360266.324 0.161
RTT 1790360266.575 0.194
RTT 1790360266.826 1.629
RTT 1790360267.075 0.146
RTT 1790360267.325 0.317
RTT 1790360267.575 0.265
RTT 1790360267.830 0.733
RTT 1790360268.080 0.067
RTT 1790360268.330 0.287
RTT 1790360268.583 0.334
RTT 1790360268.833 0.101
RTT 1790360269.084 1.826
RTT 1790360269.333 0.097
RTT 1790360269.583 0.165
RTT 1790360269.833 0.048
RTT 1790360270.083 0.175
RTT 1790360270.334 0.170
RTT 1790360270.584 0.091
RTT 1790360270.834 0.362
RTT 1790360271.084 0.210
RTT 1790360271.334 0.083
RTT 1790360271.588 4.130
RTT 1790360271.834 0.057
RTT 1790360272.084 0.076
RTT 1790360272.335 0.138
RTT 1790360272.591 5.921
RTT 1790360272.837 0.082
RTT 1790360273.087 0.307
RTT 1790360273.337 0.218
RTT 1790360273.587 0.077
RTT 1790360273.838 0.162
RTT 1790360274.088 0.338
RTT 1790360274.338 0.143
RTT 1790360274.588 0.136
RTT 1790360274.839 0.332
RTT 1790360275.089 0.102
RTT 1790360275.339 0.162
RTT 1790360275.589 0.351
RTT 1790360275.839 0.280
RTT 1790360276.089 0.362
RTT 1790360276.340 0.407
RTT 1790360276.590 0.122
RTT 1790360276.840 0.054
RTT 1790360277.090 0.534
RTT 1790360277.340 0.331
RTT 1790360277.590 0.081
RTT 1790360277.840 0.153
RTT 1790360278.090 0.169
RTT 1790360278.341 0.181
RTT 1790360278.591 0.216
RTT 1790360278.841 0.120
RTT 1790360279.091 0.331
RTT 1790360279.341 0.165
RTT 1790360279.591 0.228
RTT 1790360279.841 0.148
RTT 1790360280.092 0.347
RTT 1790360280.342 0.319
RTT 1790360280.592 0.060
RTT 1790360280.842 0.159
RTT 1790360281.092 0.147
RTT 1790360281.342 0.065
RTT 1790360281.592 0.103
RTT 1790360281.843 0.073
RTT 1790360282.093 0.172
RTT 1790360282.343 0.069
RTT 1790360282.594 0.188
RTT 1790360282.844 0.131
RTT 1790360283.094 0.065
RTT 1790360283.344 0.090
RTT 1790360283.594 0.092
RTT 1790360283.845 0.320
RTT 1790360284.095 0.284
RTT 1790360284.345 0.075
RTT 1790360284.595 0.181
RTT 1790360284.845 0.237
RTT 1790360285.096 0.158
RTT 1790360285.346 0.341
RTT 1790360285.596 0.371
RTT 1790360285.846 0.180
RTT 1790360286.097 0.433
RTT 1790360286.346 0.144
RTT 1790360286.596 0.061
RTT 1790360286.847 0.125
RTT 1790360287.097 0.073
RTT 1790360287.347 0.058
RTT 1790360287.597 0.170
RTT 1790360287.847 0.065
RTT 1790360288.097 0.068
RTT 1790360288.347 0.044
RTT 1790360288.597 0.084
RTT 1790360288.848 0.113
RTT 1790360289.098 0.154
RTT 1790360289.348 0.137
RTT 1790360289.598 0.106
RTT 1790360289.848 0.090
RTT 1790360290.098 0.144
RTT 1790360290.348 0.134
RTT 1790360290.598 0.066
RTT 1790360290.848 0.065
RTT 1790360291.099 0.072
RTT 1790360291.349 0.171
RTT 1790360291.599 0.174
RTT 1790360291.849 0.176
RTT 1790360292.099 0.178
RTT 1790360292.350 0.355
RTT 1790360292.600 0.096
RTT 1790360292.850 0.068
RTT 1790360293.100 0.187
RTT 1790360293.350 0.108
RTT 1790360293.600 0.177
RTT 1790360293.850 0.185
RTT 1790360294.100 0.138
RTT 1790360294.351 0.273
RTT 1790360294.601 0.136
RTT 1790360294.851 0.088
RTT 1790360295.101 0.135
RTT 1790360295.352 0.292
RTT 1790360295.602 0.069
RTT 1790360295.852 0.403
RTT 1790360296.102 0.071
RTT 1790360296.352 0.353
RTT 1790360296.602 0.053
RTT 1790360296.852 0.072
RTT 1790360297.103 0.169
RTT 1790360297.353 0.145
RTT 1790360297.603 0.278
RTT 1790360297.853 0.177
RTT 1790360298.103 0.074
RTT 1790360298.353 0.151
RTT 1790360298.604 0.190
RTT 1790360298.854 0.281
RTT 1790360299.104 0.077
RTT 1790360299.354 0.345
RTT 1790360299.605 0.199
RTT 1790360299.855 0.195
RTT 1790360300.105 0.059
RTT 1790360300.355 0.124
RTT 1790360300.605 0.132
RTT 1790360300.855 0.081
RTT 1790360301.105 0.126
RTT 1790360301.356 0.111
RTT 1790360301.606 0.202
RTT 1790360301.856 0.164
RTT 1790360302.106 0.145
RTT 1790360302.356 0.117
RTT 1790360302.606 0.176
RTT 1790360302.856 0.158
RTT 1790360303.106 0.072
RTT 1790360303.357 0.294
RTT 1790360303.607 0.342
RTT 1790360303.857 0.210
RTT 1790360304.108 0.173
RTT 1790360304.358 0.168
RTT 1790360304.608 0.340
RTT 1790360304.858 0.244
RTT 1790360305.108 0.165
RTT 1790360305.358 0.174
RTT 1790360305.608 0.064
RTT 1790360305.859 0.213
RTT 1790360306.109 0.093
RTT 1790360306.359 0.305
RTT 1790360306.609 0.082
RTT 1790360306.859 0.342
